; instrument number
; |  mono=1 or stereo=2 - stereo pitchmdf = 4??? gigsample = 5 with velocity sensitive sample sets
; |  |  base note
; |  |  |  loop 0=no 1=yes
; |  |  |  | subtract from start time samples. Divide sample number by 1/(bpm*2646000)=delay in seconds
; |  |  |  | |    cent adjustment value
; |  |  |  | |    |   File name
  2  1  67 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H G3.aif
  2  1  69 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H A3.aif
  2  1  71 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H B3.aif
  2  1  74 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H D4.aif
  2  1  77 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H F4.aif
  2  1  80 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H G#4.aif
  2  1  84 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H C5.aif
  2  1  87 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H D#5.aif
  2  1  91 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H G5.aif
  2  1  93 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H A5.aif
  2  1  96 0    0 0   McGill/Partition C/HARP-HARMONC/HARP-H C6.aif
; retuned using FFT & Cooledit 7/20/09
; retuned 3/13/10 again
; retuned Pano Tuner 7/26/16
  3  1  25 0    0 -28 McGill/Partition C/HARP/HARP C#1.aif
  3  1  27 0    0 -36 McGill/Partition C/HARP/HARP D#1.aif
  3  1  29 0    0 -22 McGill/Partition C/HARP/HARP F1.aif
  3  1  32 0    0 0   McGill/Partition C/HARP/HARP G#1.aif
  3  1  35 0    0 -1  McGill/Partition C/HARP/HARP B1.aif
  3  1  39 0    0 0   McGill/Partition C/HARP/HARP D#2.aif
  3  1  41 0    0 -2  McGill/Partition C/HARP/HARP F2.aif
  3  1  46 0    0 -4  McGill/Partition C/HARP/HARP A#2.aif
  3  1  52 0    0 -2  McGill/Partition C/HARP/HARP E3.aif
  3  1  55 0    0 -3  McGill/Partition C/HARP/HARP G3.aif
  3  1  58 0    0 -4  McGill/Partition C/HARP/HARP A#3.aif
  3  1  61 0    0 +8  McGill/Partition C/HARP/HARP C#4.aif
  3  1  64 0    0 +2  McGill/Partition C/HARP/HARP E4.aif
  3  1  68 0    0 -11 McGill/Partition C/HARP/HARP G#4.aif
  3  1  72 0    0 +5  McGill/Partition C/HARP/HARP C5.aif
  3  1  76 0    0 -7  McGill/Partition C/HARP/HARP E5.aif
  3  1  79 0    0 +2  McGill/Partition C/HARP/HARP G5.aif
  3  1  87 0    0 -8  McGill/Partition C/HARP/HARP D#6.aif
  3  1  91 0    0 0   McGill/Partition C/HARP/HARP G6.aif
  3  1  95 0    0 -21 McGill/Partition C/HARP/HARP B6.aif
;
  4  1  41 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPF1.aif
  4  1  45 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPA1.aif
  4  1  49 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTPD#2.aif
  4  1  53 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPF2.aif
  4  1  57 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPA2.aif
  4  1  61 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTPD#3.aif
  4  1  65 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPF3.aif
  4  1  69 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPA3.aif
  4  1  73 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTPC#4.aif
  4  1  77 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPF4.aif
  4  1  81 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPA4.aif
  4  1  85 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTPC#5.aif
  4  1  91 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPG5.aif
  4  1  95 0    0 0   McGill/Partition C/HARPSIC-STOP/HARPSTOPB5.aif
  5  1  41 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 F2.aif
  5  1  44 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 G#2.aif
  5  1  47 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 B2.aif
  5  1  50 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 D3.aif
  5  1  54 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 F#3.aif
  5  1  57 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 A3.aif
  5  1  60 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 C4.aif
  5  1  63 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 D#4.aif
  5  1  71 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 B4.aif
  5  1  74 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 D5.aif
  5  1  78 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 F#5.aif
  5  1  81 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 A5.aif
  5  1  86 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 D6.aif
  5  1  91 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 G6.aif
  5  1  96 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 C7.aif
  5  1 101 0    0 0   McGill/Partition C/HARPSI-4 FT/HARPSI4 F7.aif
  6  1  41 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 F1.aif
  6  1  44 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 G#1.aif
  6  1  47 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 B1.aif
  6  1  50 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 D2.aif
  6  1  53 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 F2.aif
  6  1  56 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 G#2.aif
  6  1  59 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 B2.aif
  6  1  62 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 D3.aif
  6  1  65 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 F3.aif
  6  1  68 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 G#3.aif
  6  1  71 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 B3.aif
  6  1  74 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 D4.aif
  6  1  77 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 F4.aif
  6  1  80 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 G#4.aif
  6  1  83 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 B4.aif
  6  1  86 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 D5.aif
  6  1  89 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 F5.aif
  6  1  92 1    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 G#5.aif
  6  1  96 0    0 0   McGill/Partition C/HARPSI-4+8FT/HARP8 4 C6.aif
  7  1  41 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 F1.aif
  7  1  45 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 A1.aif
  7  1  49 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8C#2.aif
  7  1  53 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 F2.aif
  7  1  57 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 A2.aif
  7  1  61 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8C#3.aif
  7  1  65 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 F3.aif
  7  1  69 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 A3.aif
  7  1  73 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8C#4.aif
  7  1  77 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 F4.aif
  7  1  81 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 A4.aif
  7  1  85 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8C#5.aif
  7  1  89 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 F5.aif
  7  1  93 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 A5.aif
  7  1  97 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8C#6.aif
  7  1 101 0    0 0   McGill/Partition C/HARPSI-8 FT/HARPSI8 F6.aif
; retuned using FFT & Cooledit 7/20/09
; checked again - 100% perfect 3/16/10
; rechecked 7/26/16 - using Pano Tuner
  8  2  41 0    0 -4  McGill/Partition C/MARIMBA/MARIMBA F2.aif
  8  2  44 0    0 +10 McGill/Partition C/MARIMBA/MARIMBAG#2.aif
  8  2  47 0    0 +2  McGill/Partition C/MARIMBA/MARIMBA B2-f.aif
  8  2  50 0    0 +4  McGill/Partition C/MARIMBA/MARIMBA D3-f.aif
  8  2  56 0    0 -1  McGill/Partition C/MARIMBA/MARIMBAG#3-f.aif
  8  2  59 0    0 -2  McGill/Partition C/MARIMBA/MARIMBA B3-f.aif
  8  2  62 0    0 +8  McGill/Partition C/MARIMBA/MARIMBA D4-f.aif
  8  2  65 0    0 +6  McGill/Partition C/MARIMBA/MARIMBA F4-f.aif
  8  2  68 0    0 -2  McGill/Partition C/MARIMBA/MARIMBAG#4-f.aif
  8  2  71 0    0 -8  McGill/Partition C/MARIMBA/MARIMBA B4-f.aif
  8  2  74 0    0 +5  McGill/Partition C/MARIMBA/MARIMBA D5-f.aif
  8  2  77 0    0 +5  McGill/Partition C/MARIMBA/MARIMBA F5-f.aif
  8  2  80 0    0 +3  McGill/Partition C/MARIMBA/MARIMBAG#5.aif
  8  2  84 0    0 +2  McGill/Partition C/MARIMBA/MARIMBA C6-f.aif
  8  2  86 0    0 +9  McGill/Partition C/MARIMBA/MARIMBA D6-f.aif
  8  2  89 0    0 +5  McGill/Partition C/MARIMBA/MARIMBA F6-f.aif
  8  2  92 0    0 +4  McGill/Partition C/MARIMBA/MARIMBAG#6.aif
  8  2  95 0    0 +6  McGill/Partition C/MARIMBA/MARIMBA B6-f.aif
;
  9  2  59 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B B3.aif
  9  2  62 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B D4.aif
  9  2  64 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B E4.aif
  9  2  66 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B F#4.aif
  9  2  68 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B G#4.aif
  9  2  72 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B C5.aif
  9  2  74 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B D5.aif
  9  2  76 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B E5.aif
  9  2  78 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B F#5.aif
  9  2  80 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B G#5.aif
  9  2  82 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B A#5.aif
  9  2  84 1    0 0   McGill/Partition C/OBOE-BAROQUE/OBOE-B C6.aif
; These were out of tune - They have been fixed 11/11/02 - adjusted on 4/29/04 - must have drifted...
; sample loop points fixed on 10/13/04
; removed delay times 2-13-08
; refound loop points 2-13-08
; retuned 3/12/2010
; retuned 2/2/2012 - gotta love that drift
 10  2  58 1    0 -13 McGill/Partition C/OBOE/OBOE A#3-f.aif
 10  2  60 1    0 +5  McGill/Partition C/OBOE/OBOE C4.aif
 10  2  62 1    0 +3  McGill/Partition C/OBOE/OBOE D4-f.aif
 10  2  64 1    0 +5  McGill/Partition C/OBOE/OBOE E4-f.aif
 10  2  66 1    0 +7  McGill/Partition C/OBOE/OBOE F#4.aif
 10  2  68 1    0 +10 McGill/Partition C/OBOE/OBOE G#4-f.aif
 10  2  70 1    0 -12 McGill/Partition C/OBOE/OBOE A#4-f.aif
 10  2  72 1    0 -6  McGill/Partition C/OBOE/OBOE C5-f.aif
 10  2  74 1    0 +14 McGill/Partition C/OBOE/OBOE D5-f.aif
 10  2  76 1    0 +6  McGill/Partition C/OBOE/OBOE E5.aif
 10  2  80 1    0 +4  McGill/Partition C/OBOE/OBOE G#5.aif
 10  2  82 1    0 +1  McGill/Partition C/OBOE/OBOE A#5-f.aif
 10  2  84 1    0 +12 McGill/Partition C/OBOE/OBOE C6-f.aif
 10  2  86 1    0 +12 McGill/Partition C/OBOE/OBOE D6-f.aif
 10  2  88 1    0 +16 McGill/Partition C/OBOE/OBOE E6-f.aif
